0.000,0.000
0.100,-0.249
0.200,-0.504
0.300,-0.771
0.400,-1.056
0.500,-1.362
0.600,-1.688
0.700,-2.025
0.800,-2.359
0.900,-2.678
1.000,-2.972
1.100,-3.239
1.200,-3.481
1.300,-3.702
1.400,-3.906
1.500,2.188
1.600,2.010
1.700,1.842
1.800,1.682
1.900,1.529
2.000,1.383
2.100,1.243
2.200,1.108
2.300,0.979
2.400,0.855
2.500,0.736
2.600,0.621
2.700,0.511
2.800,0.405
2.900,0.304
3.000,0.206
3.100,0.113
3.200,0.023
3.300,-0.062
3.400,-0.145
3.500,-0.223
3.600,-0.299
3.700,-0.371
3.800,-0.441
3.900,-0.507
4.000,-0.571
4.100,-0.632
4.200,-0.691
4.300,-0.747
4.400,-0.801
4.500,-0.853
4.600,-0.902
4.700,-0.950
4.800,-0.996
4.900,-1.040
5.000,-1.083
